COUNT( DISTINCT TripID),EndLatitude,EndLongitude
1,54.35,18.66
1,54.35,18.67
2,54.35,18.7
1,54.36,18.65
14,54.36,18.66
17,54.37,18.66
26,54.38,18.65
9,54.38,18.66
20,54.38,18.67
25,54.38,18.71
2,54.38,18.72
1,54.39,18.67
2,54.39,18.68
5,54.39,18.7
4,54.4,18.65
3,54.4,18.66
3,54.4,18.67
2,54.4,18.71
3,54.43,18.64
2,54.43,18.65
3,54.43,18.81
6,54.43,18.82
2,54.43,18.83
17,54.44,18.64
9,54.44,18.65
1,54.44,18.81
1,54.44,18.82
3,54.44,18.83
1,54.45,18.64
3,54.45,18.66
4,54.45,18.67
1,54.45,18.68
1,54.45,18.82
1,54.45,18.84
3,54.46,18.65
1,54.46,18.66
2,54.46,18.67
1,54.46,18.68
1,54.46,18.83
1,54.47,18.67
1,54.5,18.75
2,54.51,18.59
1,54.51,18.6
1,54.51,18.61
1,54.51,18.65
4,54.52,18.52
2,54.52,18.53
2,54.52,18.54
20,54.52,18.55
1,54.52,18.56
2,54.52,18.57
3,54.52,18.58
3,54.52,18.59
5,54.52,18.6
5,54.52,18.61
1,54.52,18.63
1,54.52,18.65
16,54.53,18.52
14,54.53,18.53
6,54.53,18.54
4,54.53,18.56
1,54.53,18.66
1,54.53,18.74
1,54.53,18.75
110,54.54,18.5
111,54.54,18.51
1,54.59,18.88
1,54.64,18.92
